"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","P00-P96 Certain conditions originating in the perinatal period","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","Under 5 years","Number","0","0","2","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","5 - 19 years","Number","1","1","1","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","20 - 39 years","Number","1","1","2","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","40 - 64 years","Number","3","4","5","4","4","4"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","65 - 69 years","Number","3","5","3","5","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","70 - 74 years","Number","3","0","3","6","3","6"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","75 - 79 years","Number","0","0","0","4","4","4"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","80 - 84 years","Number","7","0","0","0","6","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","85 years and over","Number","0","7","0","7","6","6"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","64 years and under","Number","2","2","3","2","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","65 years and over","Number","3","2","3","4","3","4"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","20 - 39 years","Number","0","1","1","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","40 - 64 years","Number","2","1","1","1","1","2"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","65 - 69 years","Number","0","3","3","2","0","2"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","70 - 74 years","Number","0","3","3","3","3","3"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","75 - 79 years","Number","0","5","9","8","8","11"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","80 - 84 years","Number","13","13","12","18","17","17"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","85 years and over","Number","93","88","111","144","117","135"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","64 years and under","Number","1","1","0","0","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","65 years and over","Number","12","14","17","22","19","22"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","20 - 39 years","Number","0","0","0","1","2","1"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","40 - 64 years","Number","0","0","0","6","17","6"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","65 - 69 years","Number","0","0","0","40","79","22"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","70 - 74 years","Number","0","0","0","81","151","50"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","75 - 79 years","Number","0","0","0","173","306","121"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","80 - 84 years","Number","0","0","0","391","504","278"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","85 years and over","Number","0","0","0","877","1206","721"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","64 years and under","Number","0","0","0","2","7","3"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","65 years and over","Number","0","0","0","219","330","167"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","Under 5 years","Number","2","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","5 - 19 years","Number","4","4","4","4","2","3"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","20 - 39 years","Number","20","21","20","20","18","12"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","40 - 64 years","Number","25","30","27","26","22","19"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","65 - 69 years","Number","29","36","33","27","30","24"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","70 - 74 years","Number","40","34","39","41","31","34"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","75 - 79 years","Number","52","50","56","45","50","47"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","80 - 84 years","Number","72","95","80","77","69","85"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","85 years and over","Number","194","220","201","190","192","223"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","64 years and under","Number","16","19","18","17","15","12"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish","V00-Y98 External causes of injury and poisoning","65 years and over","Number","60","66","64","60","59","63"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","5 - 19 years","Number","0","44","43","0","41","42"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","20 - 39 years","Number","55","54","104","102","99","49"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","40 - 64 years","Number","359","347","589","484","388","299"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","65 - 69 years","Number","2564","1163","2041","943","893","820"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","70 - 74 years","Number","3448","5172","3333","3125","1471","1429"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","75 - 79 years","Number","7143","3333","3125","5263","4545","4167"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","80 - 84 years","Number","7143","6250","5556","11111","5556","4545"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","85 years and over","Number","10000","8333","8333","14286","6250","6250"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","64 years and under","Number","101","99","162","128","142","108"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","All deaths","65 years and over","Number","4211","3431","3153","3750","2734","2158"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","A00-B99 Infectious and parasitic diseases","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","40 - 64 years","Number","180","87","168","161","78","75"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","65 - 69 years","Number","0","0","0","943","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","70 - 74 years","Number","0","0","0","1562","0","1429"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","75 - 79 years","Number","0","0","3125","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","80 - 84 years","Number","0","0","0","5556","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","85 years and over","Number","10000","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","64 years and under","Number","34","33","49","32","16","31"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","C00-D48 Neoplasms","65 years and over","Number","1053","490","450","1250","391","719"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","E00-E90 Endocrine, nutritional and metabolic diseases","65 years and over","Number","0","0","0","417","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","F00-F99 Mental and behavioural disorders","65 years and over","Number","526","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","40 - 64 years","Number","0","87","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","64 years and under","Number","0","17","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","G00-G99 Diseases of the nervous system","65 years and over","Number","0","490","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H00-H59 Diseases of the eye and adnexa","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","White Irish Traveller","H60-H95 Diseases of the ear and mastoid process","85 years and over","Number","0","0","0","0","0","0"
